chroma_stft,rmse,spectral_centroid,spectral_bandwidth,rolloff,zcr,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,spec_contrast_0,spec_contrast_1,spec_contrast_2,spec_contrast_3,spec_contrast_4,spec_contrast_5,spec_contrast_6,tonnetz_0,tonnetz_1,tonnetz_2,tonnetz_3,tonnetz_4,tonnetz_5,label
0.30200976,0.13156843,1654.3209125640174,1787.3264330891998,3530.8751998933903,0.10840156083422176,-82.09244,93.70233,-0.8390412,28.318392,1.9027781,4.1827755,-1.2070174,2.794055,-2.771161,2.9817538,-0.96207607,4.7845697,-2.2146366,-0.29176888,-3.5023978,1.5197166,-5.072145,2.9144452,-5.3149667,0.09122888,17.668651668938498,16.217269259190147,19.560359983543936,19.388467641399405,19.177017528316803,17.39218015516141,55.26713670654826,0.04302258173029941,0.02221306256868151,0.009591641300704943,-0.024673092582110662,0.01360493287092561,-0.007489420638642005,blues
0.3056716,0.09007655,1702.9678624629275,1782.9316055653246,3633.095682302772,0.1172255005663646,-112.061104,89.76659,-1.3623742,26.628319,-3.760306,3.5879884,-3.0105443,2.5859501,-2.9215512,4.354067,-1.0117769,2.2574446,-6.1188607,0.28019288,-3.6191204,-0.54472274,-3.8413804,-1.5817076,-7.217165,-0.40528703,18.275577624756654,16.36977793617764,19.977279667406517,20.071522560717753,20.03761226907981,18.606101096474404,53.970471869618855,0.062012604763560304,-0.020770451752931282,-0.0024206484161592772,0.023595784390682273,0.0003416098858906883,0.013038102240025697,blues
0.2931519,0.08635959,1577.8442930421868,1704.164640698215,3364.6222014925374,0.10494298873933902,-135.96257,89.2506,-1.4303104,26.300484,1.6708329,3.7543948,-1.262921,2.2909474,-3.31425,2.426665,-0.57180625,4.629281,-1.8370843,-0.085247636,-3.4642124,1.3326058,-4.9154377,2.3281777,-5.8433094,-0.6726073,18.343348258436496,16.148982259207532,19.498701355917014,19.548134510922335,19.375466291854753,17.785397100574077,52.60785480104538,0.036927656030952626,0.04393688826578785,0.0022316521042576288,-0.026118799477125098,0.013572177370081904,-0.006792154319749092,blues
0.2806757,0.09725445,1364.848476657443,1789.4748994662118,3094.5329157782517,0.07053581839685501,-180.8753,105.88065,20.307306,23.939175,12.940483,5.0565314,8.688929,6.102812,-1.1632906,5.0722094,-4.073636,5.649688,-3.620935,-0.6208617,-2.6302898,2.311384,-3.671719,3.0043175,-6.511797,1.1417409,17.573144653594465,18.298389442104718,20.202823365095377,20.21000289874013,18.54195241498511,17.671119567216564,53.9889746149327,0.06173942516665233,0.1412914741915383,0.11183535452507117,0.02583667509523832,0.03353837501431058,-0.017226503266126666,blues
0.27448678,0.068499506,1344.082755662828,1758.6631222042863,2912.130197228145,0.0748184301705757,-207.77388,105.40465,18.148582,23.552187,9.179329,5.770593,7.938317,1.448029,0.49316204,2.2236948,-1.198586,3.063298,-6.3723006,1.8942734,-1.5157593,-0.09140731,-3.4381027,-2.6198828,-4.779826,0.68134487,18.609618194324835,18.494428587656284,21.056531931092888,21.197748387055512,19.783863582992733,18.945773016790806,53.977201288175735,0.1390621554930002,0.008503498331312875,-0.09459986347359649,-0.019731687001590878,-0.005345151118449014,0.03103197604439651,blues
0.29178888,0.061451,1326.6187539664575,1740.0081743342691,3018.8815964818764,0.0731979402651919,-228.69157,99.83211,19.642593,21.025612,11.584343,4.90165,8.122324,5.815799,-0.92984563,5.569183,-3.2745578,5.5928197,-3.2040567,0.23334748,-2.5085487,2.707322,-3.7158492,3.1237736,-6.661613,1.4991517,17.887647763753105,17.71686747201288,20.085345326085413,20.33285583078145,18.91450446642564,18.084712389142805,51.86710970151406,0.06102753312849688,0.1181416428599773,0.09050881405666754,0.014633068636154508,0.023957913166864638,-0.01644655082884639,blues
0.28107992,0.17675358,1472.8851854568509,1567.156182411892,2886.244003198294,0.10213667294109809,-54.43899,108.79641,-13.805182,16.491129,0.5478191,11.483263,-7.23935,3.5805643,-4.5889196,-0.89423615,-6.3603706,0.028769976,-11.422241,-0.1418906,-6.4612417,-3.213712,-5.177026,-0.30127224,-7.090894,1.8530322,29.269575135710895,15.373480358081505,18.897559136390473,20.254543264954965,20.496182197958,18.347233946647545,54.43289370309704,0.16924450638862398,-0.11301337106321395,0.10458999067675931,0.07752116214928739,0.0014115745282499905,-0.031074295286089165,blues
0.27179137,0.120918766,1599.130095876776,1627.746975759575,3132.1961620469083,0.12249092150852879,-79.48164,99.209435,-17.058329,15.748553,1.3649161,7.239951,-8.685898,3.3330967,-6.7911963,-2.510528,-6.2220674,-4.155735,-8.876154,0.35443994,-9.454882,0.085959,-5.0074434,-2.884102,-5.0867496,-2.972765,29.99897917992559,15.472546913561946,19.178157466452202,20.515947952522893,21.365213747994858,19.302197349649372,55.0922818269256,-0.04186948370709865,-0.1447988315156206,-0.11329392967785429,-0.02463634523040883,0.019171812643062672,0.01349670282760656,blues
0.2789931,0.11512844,1424.317581559464,1503.3363837640711,2785.6726412579956,0.10530477495335822,-107.53775,102.342064,-15.744915,14.3501215,0.63825184,10.702796,-7.139177,2.6579883,-4.6047654,-1.2205876,-6.211625,0.7059578,-10.24935,0.303163,-5.5815806,-2.8327227,-4.8124685,-0.09968489,-6.4813504,2.1127641,28.510983226406726,15.386685167763838,18.787707168816404,20.1851194475899,20.495125619048274,18.623247495429847,51.931762760744235,0.09976627164805328,-0.10297455349878415,0.09612230243342955,0.033886473737224726,0.008296738087465989,-0.020407798552064246,blues
0.32525954,0.14257519,993.1925502032476,1406.9586941479108,2040.1202691897654,0.04386983192297441,-173.43095,132.437,7.516259,20.15293,3.8096821,5.9615426,-2.0318708,5.983693,0.039828952,1.632072,-0.7885158,0.41332483,-7.0425463,0.43015197,-5.1515284,-1.0539765,-2.618377,-2.5545425,-5.5107183,0.9450319,32.684921464040464,16.12022320512806,18.53630956299997,19.79588427421703,18.809000111335536,16.908554188965116,52.198413747139185,0.12619474356609756,-0.06914262041645483,0.10902254556544927,0.0940945570854574,-0.00393739178090049,-0.04334044992290279,blues
